Bureau,Function Name,Function Description ,Budget,Function Type,Civilian FTE,Sworn FTE,Labor Representation,,,,,,,,
Department-wide Functions,Costs - Capital Purchases,"This item captures costs across all functions in the department for buildings, building improvements, computer equipment, office furniture, machinery and other equipment costing $5,000 or more per item. ",23451,N/A,N/A,N/A,N/A,,,,,,Multiple,Capital Accounts,
Collaborative Policing,False Alarms,This detective unit reviews false alarm calls for service per Seattle Municipal Code.,157935,Sworn,0,1,SPOG,,,,,,,,
Chief Operating Officer,Fleet Management Services,This civilian unit manages the distribution and use and services all department vehicles. The unit is also responsible for advising on fleet reduction and augmentation.,202859,Civilian,2,0,Teamsters Local 117,,,,,,,,
Chief Operating Officer,Grants and Contracts,"These civilians identify and apply for grants, administer grant awards and draft contracts.",472891,Civilian,3,0,None,,,,,,,,
Collaborative Policing,Mounted Patrol Services,"This specialty unit focuses on community engagement and outreach. The horses and handlers appear at neighborhood festivals, Seattle parks, and schools and universities, and walk through nearly every part of the city to engage with people and connect the most vulnerable with services. ",755955,Civilian/Sworn Co-Response,1,4,SPOG and PSIE Local 1239,,,,,,,,
Collaborative Policing,Public Affairs,"This unit is comprised of sworn and civilian personnel and responsible for assisting journalists, neighborhood bloggers and the public with questions about the department. They respond to crime scenes to answer media questions about investigations; they manage department social media platforms and the department website; they plan and arrange news conferences; they coordiate with city departments; and they disseminate public information in the form of brochures, public service announcements, reports and other educational materials. ",973474,Civilian/Sworn Co-Response,2,4,SPOG,,,,,,,,
Collaborative Policing,Mayoral Security,This unit provides personal security to the Mayor.,984859,Sworn,0,7,SPOG,,,,,,,,
Criminal Investigations,Victim Advocate and Patrol Support Services,"These civilian victim advoates support detective and patrol officers by seeing to the social service, medical and counseling needs of crime victims and witnesses as well as communities that have experienced traumatic events. They also recruit, train and deploy volunteers to assist at domestic violence crime scenes.",1173808,Civilian,11,0,None,,,,,,,,
Criminal Investigations,"Property Inventory, Management and Distribution","This civilian unit receives, inventories, stores and distributes department supplies and equipment. ",1262507,Civilian,5,0,None,,,,,,,,
Criminal Investigations,Auto Theft Investigation Services,This detective unit conducts follow-up investigations of vehicle thefts. ,1320776,Sworn,0,7,SPOG,,,,,,,,
Criminal Investigations,Crime Analysis Services,"This detective unit gathers and analyzes crime and calls for police service. Using this information, they are able to monitor crime trends, alert senior commanders to emerging public safety issues and disseminate pertinent information to patrol operations to help them investigate crime trends and keep neighorhoods safe. ",1394057,Sworn,0,8,SPOG,,,,,,,,
Criminal Investigations,"Fraud, Forgery and Financial Exploitation Investigation Services","This detective unit conducts follow-up investigations of fraud, forgery and other forms of financial exploitation, including identity theft cases.",1509458,Civilian/Sworn Co-Response,1,7,SPOG,,,,,,,,
Special Operations,Traffic Collision Investigation Services,This detective unit conducts follow-up investigations of major traffic collisions which are defined as collisions with significant injury or property damage or a fatality.,1535433,Sworn,0,11,SPOG,,,,,,,,
Chief Operating Officer,Research and Analytics,"This civilian unit performs complex data analyses, manages research agreements, provides data to research partners and maintains the Data Analytics Platform which provides transparent data to the public. This group is also responsible for data governance. ",1568315,Civilian,9,0,None,,,,,,,,
Criminal Investigations,Photo Lab and Video Unit,"This civilian unit supports investigative units by providing photographic/video evidence processing and other video and photographic aids. They also produce community public service announcements in multiple languages to help residents better understand traffic patterns, property crime trends and understand the role of public safety in day to day life. ",1579727,Civilian,15,0,Local 17,,,,,,,,
Criminal Investigations,Vice Investigation Services,This detective unit conducts follow-up and proactive investigations into those involved in gambling and sex work - including helping victims of sex trafficking. ,1711452,Sworn,0,10,SPOG,,,,,,,,
